timestamp,manager_id,game_date,transaction_type,active_players,active_player_ids
2026-01-16T04:18:07.895329,5,2026-01-18,lineup_change,"Tiffany Hayes, Brittney Sykes, Dana Evans","50, 32, 40"
2026-01-16T18:31:05.654030,6,2026-01-16,lineup_change,"Chelsea Gray, Jackie Young, Monique Billings","13, 31, 12"
2026-01-16T18:31:57.933306,6,2026-01-17,lineup_change,"Alanna Smith, Temi Fagbenle, Rachel Banham","45, 49, 23"
2026-01-16T18:32:29.088927,6,2026-01-18,lineup_change,"Chelsea Gray, Jackie Young, Monique Billings","13, 31, 12"
2026-01-16T18:32:53.055535,6,2026-01-19,lineup_change,"Alanna Smith, Temi Fagbenle, Rachel Banham","45, 49, 23"
2026-01-16T19:15:59.474906,3,2026-01-16,lineup_change,"Kelsey Plum, Kelsey Mitchell, Aliyah Boston","37, 7, 39"
2026-01-16T19:16:34.391729,3,2026-01-17,lineup_change,"Kelsey Mitchell, Rickea Jackson, Li Yueru","7, 2, 48"
2026-01-16T19:17:08.849967,3,2026-01-18,lineup_change,"Kelsey Plum, Kelsey Mitchell, Aliyah Boston","37, 7, 39"
2026-01-16T19:17:11.687309,3,2026-01-18,lineup_change,"Kelsey Plum, Kelsey Mitchell, Aliyah Boston","37, 7, 39"
2026-01-16T19:17:48.247066,3,2026-01-19,lineup_change,"Kelsey Plum, Kelsey Mitchell, Li Yueru","37, 7, 48"
2026-01-16T23:24:33.259486,2,2026-01-16,lineup_change,"Kahleah Copper, Ezi Magbegor, Dominique Malonga","14, 9, 3"
2026-01-16T23:25:14.723495,2,2026-01-17,lineup_change,"Breanna Stewart, Kate Martin, Dominique Malonga","43, 5, 3"
2026-01-18T00:31:53.282735,3,2026-01-18,lineup_change,"Kelsey Plum, Kelsey Mitchell, Aliyah Boston","37, 7, 39"
2026-01-18T00:32:21.587938,3,2026-01-19,lineup_change,"Natasha Cloud, Rickea Jackson, Li Yueru","41, 2, 48"
2026-01-18T00:33:19.951667,3,2026-01-23,lineup_change,"Kelsey Plum, Natasha Cloud, Aliyah Boston","37, 41, 39"
2026-01-18T00:33:57.934276,3,2026-01-24,lineup_change,"Kelsey Mitchell, Rickea Jackson, Li Yueru","7, 2, 48"
2026-01-18T00:34:24.444902,3,2026-01-25,lineup_change,"Kelsey Plum, Li Yueru, Aliyah Boston","37, 48, 39"
2026-01-18T00:35:00.391242,3,2026-01-26,lineup_change,"Kelsey Mitchell, Rickea Jackson, Li Yueru","7, 2, 48"
2026-01-18T00:35:45.524405,3,2026-01-30,lineup_change,"Kelsey Plum, Rickea Jackson, Aliyah Boston","37, 2, 39"
2026-01-18T01:28:53.590072,2,2026-01-18,lineup_change,"Breanna Stewart, Kahleah Copper, Ezi Magbegor","43, 14, 9"
2026-01-19T00:15:33.587358,7,2026-01-19,lineup_change,"Rhyne Howard, Kiki Iriafen, Marina Mabrey","26, 42, 21"
2026-01-19T22:23:55.041946,2,2026-01-19,lineup_change,"Breanna Stewart, Kate Martin, Dominique Malonga","43, 5, 3"
2026-01-20T16:44:00.505251,5,2026-01-23,lineup_change,"Veronica Burton, Tiffany Hayes, Rae Burrell","46, 50, 29"
2026-01-20T16:44:37.165244,5,2026-01-24,lineup_change,"Paige Bueckers, Tiffany Hayes, Brittney Sykes","1, 50, 32"
2026-01-20T16:44:39.123749,5,2026-01-24,lineup_change,"Paige Bueckers, Tiffany Hayes, Brittney Sykes","1, 50, 32"
2026-01-20T16:44:41.850223,5,2026-01-24,lineup_change,"Paige Bueckers, Tiffany Hayes, Brittney Sykes","1, 50, 32"
2026-01-20T16:44:42.952439,5,2026-01-24,lineup_change,"Paige Bueckers, Tiffany Hayes, Brittney Sykes","1, 50, 32"
2026-01-20T16:44:58.813492,5,2026-01-25,lineup_change,"Veronica Burton, Tiffany Hayes, Rae Burrell","46, 50, 29"
2026-01-20T16:45:00.947245,5,2026-01-25,lineup_change,"Veronica Burton, Tiffany Hayes, Rae Burrell","46, 50, 29"
2026-01-20T16:45:30.117671,5,2026-01-26,lineup_change,"Paige Bueckers, Veronica Burton, Brittney Sykes","1, 46, 32"
2026-01-20T16:45:32.513763,5,2026-01-26,lineup_change,"Paige Bueckers, Veronica Burton, Brittney Sykes","1, 46, 32"
2026-01-22T21:09:55.485915,1,2026-01-23,lineup_change,"Allisha Gray, Erica Wheeler, Shakira Austin","44, 28, 17"
2026-01-22T21:10:10.255846,1,2026-01-24,lineup_change,"Skylar Diggins, Saniya Rivers, Cameron Brink","20, 11, 6"
2026-01-22T21:10:28.961120,1,2026-01-25,lineup_change,"Allisha Gray, Erica Wheeler, Shakira Austin","44, 28, 17"
2026-01-22T21:10:40.070089,1,2026-01-26,lineup_change,"Skylar Diggins, Saniya Rivers, Cameron Brink","20, 11, 6"
2026-01-22T23:49:28.092953,8,2026-01-24,lineup_change,"Sonia Citron, Aaliyah Edwards, Maddy Siegrist","8, 22, 35"
2026-01-22T23:50:22.833644,8,2026-01-25,lineup_change,"Dearica Hamby, Azura Stevens, Maddy Siegrist","27, 15, 35"
2026-01-22T23:51:06.900040,8,2026-01-25,lineup_change,"Dearica Hamby, Azura Stevens, Maddy Siegrist","27, 15, 35"
2026-01-22T23:51:33.009521,8,2026-01-26,lineup_change,"Sonia Citron, Jordin Canada, Maddy Siegrist","8, 34, 35"
2026-01-22T23:52:11.498888,8,2026-01-26,lineup_change,"Sonia Citron, Jordin Canada, Maddy Siegrist","8, 34, 35"
2026-01-22T23:53:38.417181,4,2026-01-23,lineup_change,"Brittney Griner, Courtney Williams, Sug Sutton","30, 25, 18"
2026-01-22T23:53:50.404409,8,2026-01-23,lineup_change,"Dearica Hamby, Sonia Citron, Azura Stevens","27, 8, 15"
2026-01-22T23:54:04.625941,4,2026-01-24,lineup_change,"Alyssa Thomas, Naz Hillmon, Rebecca Allen","33, 36, 24"
2026-01-22T23:54:24.047855,4,2026-01-25,lineup_change,"Brittney Griner, Courtney Williams, Sug Sutton","30, 25, 18"
2026-01-22T23:54:41.006136,8,2026-01-24,lineup_change,"Sonia Citron, Jordin Canada, Aaliyah Edwards","8, 34, 22"
2026-01-22T23:54:42.444672,6,2026-01-23,lineup_change,"Chelsea Gray, Alanna Smith, Jackie Young","13, 45, 31"
2026-01-22T23:54:45.702586,4,2026-01-26,lineup_change,"Alyssa Thomas, Naz Hillmon, Rebecca Allen","33, 36, 24"
2026-01-22T23:55:05.636163,6,2026-01-24,lineup_change,"Jackie Young, Temi Fagbenle, Monique Billings","31, 49, 12"
2026-01-22T23:55:16.089820,2,2026-01-23,lineup_change,"Breanna Stewart, Kahleah Copper, Dominique Malonga","43, 14, 3"
2026-01-22T23:55:20.007811,2,2026-01-23,lineup_change,"Breanna Stewart, Kahleah Copper, Dominique Malonga","43, 14, 3"
2026-01-22T23:55:24.285564,8,2026-01-25,lineup_change,"Dearica Hamby, Azura Stevens, Maddy Siegrist","27, 15, 35"
2026-01-22T23:55:31.873438,6,2026-01-25,lineup_change,"Chelsea Gray, Alanna Smith, Monique Billings","13, 45, 12"
